10:19:15.810 [INFO] WIZARD-NEG   negative & edge-case suite
10:20:13.680 [INFO] WIZ-16-N     start
10:20:13.683 [INFO] login        navigating to /login
10:20:17.144 [INFO] login        ok
10:20:48.692 [WARN] WATCHDOG     UF-WIZ-16-N: Browser back from step 2 lands on step 1 (or stays step 2 without crash) exceeded 35s — closing context
10:20:49.697 [WARN] safeRun      server-induced failure, skipping: locator.check: Target page, context or browser has been closed
10:20:54.544 [INFO] WIZ-22-N     start
10:20:54.546 [INFO] login        navigating to /login
10:20:57.810 [INFO] login        ok
10:21:29.545 [WARN] WATCHDOG     UF-WIZ-22-N: Double-click Continue does not skip a step exceeded 35s — closing context
10:21:30.839 [WARN] safeRun      server-induced failure, skipping: locator.check: Target page, context or browser has been closed
