"Test ID","15 Sept 2026"
"UF-ADMIN-01-N","PASS"
"UF-ADMIN-03-N","PASS"
"UF-ADMIN-99-N","PASS"
"ADM-CAT-VAL-001","PASS"
"ADM-CAT-VAL-002","PASS"
"ADM-CAT-VAL-003","PASS"
"ADM-CAT-VAL-004","PASS"
"ADM-CAT-NEG-001","PASS"
"UF-CMS-N1: Visit a non-existent CMS page returns 404 or friendly error","PASS"
"UF-CMS-N2: 5000-char input in any visible CMS field does not crash","SKIPPED"
"UF-ENG-N1: Inbox empty search returns empty state","PASS"
"UF-ENG-N2: Subscribers 5000-char search does not crash","PASS"
"UF-ENG-N3: Inbox reply with XSS payload does not execute","SKIPPED"
"UF-FIN-N1: Payouts with non-existent ID shows error, not crash","PASS"
"UF-FIN-N2: 5000-char filter on pledges does not crash","SKIPPED"
"UF-FIN-N3: Refunds date filter with junk value does not crash","SKIPPED"
"UF-PPL-N1: User search with no matches shows empty state","PASS"
"UF-PPL-N2: User search with XSS does not execute","PASS"
"UF-PPL-N3: 5000-char user search does not crash","PASS"
"UF-SYS-N1: Notifications page with no JS errors on load","PASS"
"UF-SYS-N2: Activity log filter with junk date does not crash","SKIPPED"
"UF-SYS-N3: 5000-char search on activity log does not crash","SKIPPED"
"UF-WIZ-09-N","SKIPPED"
"UF-WIZ-13-N","PASS"
"UF-WIZ-05-N","PASS"
"UF-WIZ-06-N","PASS"
"UF-WIZ-12-N","PASS"
"UF-WIZ-15-N","PASS"
"UF-WIZ-16-N","SKIPPED"
"UF-WIZ-19-N","PASS"
"UF-WIZ-21-N","PASS"
"UF-WIZ-17-N","PASS"
"UF-WIZ-18-N","PASS"
"UF-UP-06-N","PASS"
"UF-UP-07-N","PASS"
"UF-UP-08-N","PASS"
"UF-UP-09-N","PASS"
"UF-UP-10-N","PASS"
"UF-UP-11-N","PASS"
"UF-UP-12-N","PASS"
"UF-UP-13-N","PASS"
"UF-PERF-01: 25 parallel /explore page loads all complete within 60s","PASS"
"UF-PERF-02: Sustained load: 1 req/sec to /login for 60 seconds, no failures","PASS"
"UF-PERF-03: Burst: 100 requests in 5s, all complete (any 5xx is failure)","PASS"
"UF-PERF-04: Memory: rapid open/close of 10 pages does not leak browser memory","PASS"
"ADM-AUTH-FUN-001","PASS"
"UF-ADMIN-01-P","PASS"
"UF-ADMIN-02-P","PASS"
"UF-ADMIN-03-P","PASS"
"UF-ADMIN-04-P","PASS"
"UF-ADMIN-05-P","PASS"
"UF-ADMIN-06-P","PASS"
"ADM-CAM-FUN-001","PASS"
"ADM-CAM-FUN-002","PASS"
"ADM-CAM-FUN-003","PASS"
"ADM-CAM-FUN-004","PASS"
"ADM-CAM-FUN-005","PASS"
"ADM-CAM-FUN-007","PASS"
"ADM-CAM-FUN-008","PASS"
"ADM-CAT-FUN-001","PASS"
"ADM-CAT-FUN-002","PASS"
"ADM-CAT-FUN-003","FAIL"
"ADM-CAT-FUN-004","SKIPPED"
"ADM-CAT-FUN-005","SKIPPED"
"ADM-CAT-FUN-006","SKIPPED"
"ADM-CAT-FUN-007","SKIPPED"
"ADM-CAT-FUN-008","SKIPPED"
"ADM-CAT-FUN-009","SKIPPED"
"ADM-CAT-FUN-010","SKIPPED"
"ADM-CAT-FUN-011","SKIPPED"
"ADM-CAT-FUN-012","SKIPPED"
"ADM-CAT-FUN-013","SKIPPED"
"ADM-CAT-FUN-014","SKIPPED"
"ADM-CAT-FUN-015","SKIPPED"
"ADM-CAT-FUN-016","SKIPPED"
"ADM-CAT-FUN-017","SKIPPED"
"ADM-CAT-FUN-018","SKIPPED"
